time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-05T04:30:28.462Z,ETH,momentum,DOWN,0.3950,0.420000,0.000000,-1.100000,LOSS
2026-04-05T04:30:38.464Z,ETH,momentum,DOWN,0.3650,0.360000,0.000000,-5.420000,LOSS
2026-04-05T04:31:03.518Z,ETH,momentum,UP,0.6700,0.740000,1.000000,1.420000,WIN
2026-04-05T04:31:08.527Z,ETH,momentum,UP,0.8800,0.910000,1.000000,2.220000,WIN
2026-04-05T04:31:43.611Z,ETH,momentum,UP,0.9000,0.910000,1.000000,2.120000,WIN
2026-04-05T04:31:48.633Z,ETH,momentum,UP,0.9050,0.910000,1.000000,2.100000,WIN
2026-04-05T04:35:39.224Z,XRP,momentum,DOWN,0.4450,0.432105,1.000000,53.830000,WIN
2026-04-05T04:35:44.240Z,SOL,momentum,DOWN,0.4700,0.490000,1.000000,2.540000,WIN
2026-04-05T04:36:39.402Z,BTC,momentum,DOWN,0.7000,0.710000,1.000000,11.540000,WIN
2026-04-05T04:36:44.418Z,SOL,momentum,DOWN,0.5100,0.560000,1.000000,3.590000,WIN
2026-04-05T04:36:49.436Z,SOL,momentum,DOWN,0.5400,0.560000,1.000000,2.190000,WIN
2026-04-05T04:37:24.536Z,SOL,momentum,UP,0.4450,0.530000,0.000000,-6.910000,LOSS
2026-04-05T04:37:39.580Z,ETH,momentum,UP,0.2650,0.230000,0.000000,-2.080000,LOSS
2026-04-05T04:40:19.906Z,XRP,momentum,DOWN,0.6450,0.650000,1.000000,12.170000,WIN
2026-04-05T04:40:24.907Z,XRP,momentum,DOWN,0.6450,0.650000,1.000000,12.170000,WIN
2026-04-05T04:40:29.911Z,XRP,momentum,DOWN,0.6450,0.650000,1.000000,9.870000,WIN
2026-04-05T04:40:44.957Z,XRP,momentum,DOWN,0.6450,0.650000,1.000000,1.770000,WIN
2026-04-05T04:40:49.964Z,XRP,momentum,DOWN,0.6200,0.640000,1.000000,19.410000,WIN
2026-04-05T04:41:04.985Z,XRP,momentum,UP,0.3750,0.390000,0.000000,-10.170000,LOSS
2026-04-05T04:41:09.993Z,XRP,momentum,UP,0.3750,0.390000,0.000000,-9.170000,LOSS
2026-04-05T04:41:45.048Z,XRP,momentum,UP,0.3700,0.390000,0.000000,-2.070000,LOSS
2026-04-05T04:41:50.065Z,XRP,momentum,UP,0.3700,0.390000,0.000000,-2.070000,LOSS
2026-04-05T04:42:30.171Z,XRP,momentum,DOWN,0.8100,0.870000,1.000000,0.990000,WIN
2026-04-05T04:42:40.188Z,XRP,momentum,DOWN,0.8450,0.900000,1.000000,2.870000,WIN
2026-04-05T04:42:50.225Z,XRP,momentum,DOWN,0.8500,0.910000,1.000000,2.540000,WIN
2026-04-05T04:45:40.619Z,BTC,momentum,DOWN,0.7150,0.720000,1.000000,11.780000,WIN
2026-04-05T04:46:05.709Z,BTC,momentum,DOWN,0.7450,0.760000,1.000000,9.460000,WIN
2026-04-05T04:47:10.859Z,BTC,momentum,UP,0.2350,0.240000,0.000000,-4.730000,LOSS
