time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-04T03:41:46.604Z,XRP,momentum,UP,0.5300,0.560000,1.000000,16.200000,WIN
2026-04-04T03:41:51.621Z,XRP,momentum,UP,0.6900,0.740000,1.000000,7.730000,WIN
2026-04-04T03:42:01.649Z,XRP,momentum,UP,0.7250,0.750000,1.000000,7.430000,WIN
2026-04-04T03:42:06.657Z,XRP,momentum,UP,0.7250,0.750000,1.000000,8.670000,WIN
2026-04-04T03:42:11.665Z,XRP,momentum,UP,0.7400,0.750000,1.000000,8.670000,WIN
2026-04-04T03:42:21.687Z,XRP,momentum,UP,0.7400,0.750000,1.000000,1.240000,WIN
2026-04-04T03:42:26.705Z,XRP,momentum,UP,0.7400,0.750000,1.000000,1.240000,WIN
2026-04-04T03:42:31.713Z,XRP,momentum,UP,0.4450,0.500000,1.000000,2.490000,WIN
2026-04-04T03:42:41.733Z,XRP,momentum,UP,0.4300,0.500000,1.000000,17.450000,WIN
2026-04-04T03:42:46.740Z,ETH,momentum,UP,0.1050,0.110000,1.000000,64.840000,WIN
2026-04-04T03:42:51.755Z,XRP,momentum,UP,0.4200,0.480000,1.000000,19.460000,WIN
2026-04-04T03:43:06.776Z,XRP,momentum,DOWN,0.5850,0.590000,0.000000,-16.100000,LOSS
2026-04-04T03:43:11.779Z,XRP,momentum,DOWN,0.5550,0.590000,0.000000,-16.100000,LOSS
2026-04-04T03:43:31.831Z,XRP,momentum,UP,0.4500,0.460000,1.000000,13.070000,WIN
2026-04-04T03:43:51.877Z,XRP,momentum,UP,0.4000,0.440000,1.000000,17.140000,WIN
2026-04-04T03:44:06.908Z,XRP,momentum,UP,0.3150,0.440000,1.000000,10.610000,WIN
2026-04-04T03:44:11.929Z,XRP,momentum,UP,0.3600,0.450000,1.000000,29.000000,WIN
2026-04-04T03:44:31.977Z,XRP,momentum,UP,0.2850,0.360000,1.000000,31.950000,WIN
2026-04-04T03:44:47.026Z,XRP,momentum,UP,0.2600,0.310000,1.000000,1.010000,WIN
2026-04-04T03:44:52.055Z,XRP,momentum,UP,0.2600,0.600000,1.000000,11.950000,WIN
2026-04-04T03:45:07.079Z,BTC,momentum,UP,0.5150,0.530000,0.000000,-16.180000,LOSS
2026-04-04T03:45:12.078Z,BTC,momentum,UP,0.5350,0.540000,0.000000,-82.930000,LOSS
2026-04-04T03:45:27.125Z,BTC,momentum,UP,0.5050,0.504804,1.000000,95.960000,WIN
2026-04-04T03:45:32.137Z,BTC,momentum,UP,0.4850,0.490000,1.000000,22.690000,WIN
2026-04-04T03:45:47.177Z,BTC,momentum,UP,0.4650,0.470000,1.000000,17.980000,WIN
2026-04-04T03:45:52.176Z,BTC,momentum,UP,0.4850,0.500000,1.000000,10.910000,WIN
2026-04-04T03:46:12.216Z,BTC,momentum,UP,0.5450,0.550000,1.000000,10.260000,WIN
2026-04-04T03:46:27.263Z,BTC,momentum,UP,0.8150,0.820000,1.000000,5.920000,WIN
2026-04-04T03:46:32.275Z,BTC,momentum,UP,0.8450,0.850000,1.000000,10.640000,WIN
2026-04-04T03:46:47.295Z,ETH,momentum,UP,0.8750,0.880000,1.000000,0.700000,WIN
2026-04-04T03:46:52.314Z,BTC,momentum,UP,0.8050,0.830000,1.000000,13.730000,WIN
2026-04-04T03:47:07.357Z,BTC,momentum,UP,0.8150,0.820000,1.000000,14.290000,WIN
