time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-06T01:36:23.277Z,BTC,momentum,UP,0.5550,0.560000,1.000000,0.790000,WIN
2026-04-06T03:11:52.861Z,BTC,momentum,UP,0.7550,0.760000,1.000000,0.320000,WIN
2026-04-06T03:12:17.901Z,BTC,momentum,UP,0.7450,0.750000,1.000000,0.340000,WIN
2026-04-06T04:05:22.142Z,BTC,momentum,UP,0.6650,0.666535,1.000000,14.640000,WIN
2026-04-06T04:05:42.210Z,ETH,momentum,UP,0.8150,0.830000,1.000000,4.880000,WIN
2026-04-06T04:05:52.238Z,BTC,momentum,UP,0.6650,0.670000,1.000000,14.480000,WIN
2026-04-06T04:05:57.248Z,BTC,momentum,UP,0.6650,0.670000,1.000000,14.480000,WIN
2026-04-06T04:06:02.271Z,BTC,momentum,UP,0.6850,0.700000,1.000000,12.380000,WIN
2026-04-06T04:06:37.357Z,BTC,momentum,UP,0.6950,0.750000,1.000000,9.980000,WIN
2026-04-06T04:06:42.376Z,SOL,momentum,UP,0.9050,0.902477,1.000000,2.210000,WIN
2026-04-06T04:07:12.420Z,BTC,momentum,UP,0.7150,0.720000,1.000000,10.310000,WIN
2026-04-06T04:07:17.420Z,BTC,momentum,UP,0.7350,0.739756,1.000000,9.300000,WIN
2026-04-06T04:08:00.024Z,ETH,unknown,DOWN,0.7500,0.750000,0.000000,0.000000,LOSS
2026-04-06T04:10:37.852Z,ETH,momentum,DOWN,0.7150,0.720000,1.000000,10.750000,WIN
2026-04-06T04:11:17.934Z,ETH,momentum,DOWN,0.9150,0.930000,1.000000,1.600000,WIN
2026-04-06T04:12:13.072Z,ETH,momentum,UP,0.0650,0.070000,0.000000,-8.500000,LOSS
2026-04-06T04:12:18.086Z,ETH,momentum,UP,0.0550,0.060000,0.000000,-12.180000,LOSS
2026-04-06T04:12:23.086Z,ETH,momentum,UP,0.0550,0.060000,0.000000,-15.080000,LOSS
2026-04-06T04:12:43.115Z,BTC,momentum,UP,0.0550,0.060000,0.000000,-26.830000,LOSS
2026-04-06T05:01:30.299Z,XRP,momentum,DOWN,0.5850,0.600000,1.000000,10.910000,WIN
2026-04-06T05:31:22.302Z,ETH,momentum,UP,0.0650,0.070000,0.000000,-14.030000,LOSS
